Entity,Five_Year_Block,Month,Value,Cumulative_Anomaly,Monthly_Avg,Auunal Emission,Emission_Change_YoY,Emission_5yr_Moving_Avg
Cote d'Ivoire,1955,6.5,0.008833333333333334,0.1328333333333334,0.047086425834701684,13.208916049204818,2.199390222026754,518833.5600000001
Spain,1980,6.5,0.3063333333333334,2.086666666666667,0.047086425834701684,19.14310416742025,-0.44860788054505274,2.04848374E8
Romania,1980,6.5,0.3063333333333334,2.0866666666666664,0.047086425834701684,19.08952423290737,-0.688294078689972,1.93262504E8
Sint Maarten (Dutch part),1980,6.5,0.3063333333333334,2.086666666666667,0.047086425834701684,13.77699091100665,22.215211738355507,990780.436
Mongolia,1985,6.5,0.298,1.976333333333333,0.047086425834701684,16.138437427005336,11.316035446197791,8596318.640000002
Saint Lucia,1965,6.5,-0.04533333333333334,-0.40733333333333344,0.04708642583470169,10.528725203154135,24.91269841269841,27553.279999999995
Antarctica,1990,6.5,0.3683333333333334,2.427333333333333,0.04708642583470169,9.541383612516768,16.666666666666664,10698.880000000001
Costa Rica,1975,6.5,0.0975,0.6506666666666667,0.04708642583470168,14.725231838167025,8.32136479463322,2149209.4680000003
Laos,1980,6.5,0.3063333333333334,2.0866666666666664,0.04708642583470167,12.052199760447715,-3.025786456218857,192872.96000000008
Europe (excl. EU-27),1980,6.5,0.3063333333333334,2.086666666666667,0.04708642583470169,22.020687978327693,0.3856866213853802,3.61028046E9
North America,1970,6.5,0.042,0.2533333333333333,0.047086425834701684,22.35582413760045,3.191875917448406,4.743136616E9
Palau,1960,6.5,0.01916666666666668,0.1661666666666667,0.047086425834701684,10.740029200291797,52.761904761904766,29751.679999999993
Guinea-Bissau,1995,6.5,0.48283333333333334,3.149666666666667,0.047086425834701684,12.16139844913186,1.6869577231279356,187889.91999999998
Bahamas,2005,6.5,0.6318333333333332,4.103666666666666,0.04708642583470168,14.478433245759897,1.21914505764131,1958774.3880000005
Uruguay,2000,6.5,0.5660000000000001,3.713500000000001,0.047086425834701684,15.422863578520943,-2.563796180704625,5393254.679999999
Central America (GCP),1985,6.5,0.29800000000000004,1.9763333333333333,0.047086425834701684,18.35200535991808,0.6549728813417043,9.324499407999998E7
Mozambique,1990,6.5,0.3683333333333333,2.427333333333333,0.04708642583470167,13.860944788711679,1.4684921921962493,1017615.0279999998
Italy,1990,6.5,0.36833333333333335,2.4273333333333342,0.047086425834701684,19.889782709202063,1.0692479747946286,4.180958944E8
Ecuador,1980,6.5,0.3063333333333334,2.086666666666667,0.04708642583470168,16.70574011686175,12.0377890291536,1.41749297E7
Jordan,1965,6.5,-0.045333333333333344,-0.4073333333333334,0.04708642583470167,14.244107125738125,7.680674689102424,1364906.9952
Uzbekistan,1960,6.5,0.019166666666666665,0.16616666666666668,0.04708642583470169,17.51675967635894,5.463490118777387,3.658524968E7
Kyrgyzstan,1970,6.5,0.041999999999999996,0.25333333333333335,0.047086425834701684,16.528120905774788,4.916668749516699,1.3736414119999997E7
Oceania,1960,6.5,0.019166666666666665,0.1661666666666667,0.04708642583470168,18.482796648547797,4.728917097487267,9.826654927999999E7
Suriname,1975,6.5,0.0975,0.6506666666666668,0.04708642583470167,14.566684541871501,8.388582195529624,1950990.0
Chad,1995,6.5,0.48283333333333334,3.149666666666666,0.04708642583470169,13.023565281887906,2.9804719933687047,429192.2000000001
Indonesia,2000,6.5,0.566,3.7135000000000002,0.04708642583470169,19.577072805413998,3.4854500242116084,2.934590184E8
French Polynesia,2010,6.5,0.6761666666666666,4.3465,0.047086425834701684,13.691108791756085,0.3841642882073678,868367.9999999999
Russia,2000,6.5,0.5660000000000001,3.7135000000000002,0.04708642583470168,21.139677862318816,0.6669671570839633,1.500817788E9
Liechtenstein,2005,6.5,0.6318333333333332,4.103666666666666,0.047086425834701684,12.288405344555509,-1.8964719314174445,223063.16000000006
Aruba,2005,6.5,0.6318333333333334,4.103666666666666,0.047086425834701684,14.811609016059833,0.15056476947298017,2651416.9599999995
Rwanda,2010,6.5,0.6761666666666666,4.346500000000001,0.047086425834701684,13.474458088070758,8.287518484131478,617769.1600000001
North America (excl. USA),2010,6.5,0.6761666666666666,4.346500000000001,0.0470864258347017,20.924327136930863,0.9412058585233599,1.210539412E9
Bonaire Sint Eustatius and Saba,2015,6.5,0.967,6.365833333333333,0.047086425834701684,11.531356563915953,5.655093698571958,93200.76
Bosnia and Herzegovina,2020,6.5,0.9441666666666665,6.186944444444445,0.047086425834701684,16.819632357490217,-1.7340678532752984,2.1120404800000004E7
Belarus,2010,6.5,0.6761666666666666,4.346500000000001,0.047086425834701684,17.955696194028803,1.0126062029866643,6.1999672559999995E7
Thailand,2010,6.5,0.6761666666666666,4.3465,0.04708642583470167,19.364186527804684,3.581256282442974,2.40949044E8
Chile,1970,6.5,0.042,0.2533333333333335,0.047086425834701684,17.098652734435277,3.001948614187861,2.4314231039999988E7
South Sudan,1955,6.5,0.008833333333333337,0.1328333333333334,0.04708642583470169,11.449525495436726,11.315023449995312,78733.88000000002
Iceland,1980,6.5,0.30633333333333324,2.0866666666666664,0.047086425834701684,14.35270263169731,-1.3881208481030711,1807153.2000000007
Sudan,1960,6.5,0.01916666666666666,0.1661666666666667,0.047086425834701684,14.168407313529585,6.457817731067694,1266404.64
Cote d'Ivoire,1970,6.5,0.04199999999999999,0.2533333333333334,0.04708642583470168,14.810796778600368,11.469894224818574,2178907.5200000005
Bosnia and Herzegovina,1950,6.5,-0.04133333333333334,-0.34750000000000003,0.047086425834701684,14.812704402641906,2.7833701362935956,2670064.5366666666
Jamaica,1970,6.5,0.041999999999999996,0.25333333333333335,0.047086425834701684,15.69962973742681,12.999819353600174,5236047.119999999
